Text,Label
Always a delight to see chest-drumming alpha males hiss and scuttle backwards up the wall when a feminist enters the room. #manly #SemST,FAVOR
Sometimes I overheat and want to take off my shirt but can't because of social expectations of people with breasts. ;n; #SemST,FAVOR
"If feminists spent 1/2 as much time reading papers as they do tumblr they would be real people, not ignorant sexist bigots. #SemST",AGAINST
"Stupid Feminists, the civilization you take for granted was built with the labour, blood sweat and tears of men. #SemST",AGAINST
YOU'RE A GIRL AND HAVE A SEX DRIVE!? YOU MUST BE A SLUT! #feminist #SemST,FAVOR
Suns out....  Dresses out...  #StreetHarassment out...  This shouldn't be daily life  #YesAllWomen @EverydaySexism #SemST,FAVOR
Women's rights are #humanrights! Join the #CPDvoices twitter rally at 3pm ET if you agree! #CPD48 #SemST,FAVOR
So you support unequal pricing based on gender @CamilleBogrand?  Don't you normally call that sexism?  #EqualPayDay #SemST,FAVOR
These pics of #pornstars with/without makeup? Just perpetuating the myth that women need makeup to be considered pretty. #SemST,FAVOR
#YesAllWomen should know how to protect herself. Which is why I carry a gun. #republicanvalues #SemST,FAVOR
links in sauga gotta stop chincing girls and taking away that extra bit #iknowyoudoit  #equality #SemST,FAVOR
RT @isocynic: I support whatever team buck supports #truefan #socceroos #bodypositive #SemST,NONE
tired of anti-womanist respectability politics. we need a safe space for women can look like they're at the club at an interview #SemST,FAVOR
"If you're a feminist AND you hate men, please kill yourself. #SemST",AGAINST
"Women don't make 75% less than men for the same job. Women, on average, make less then men. Look it up feminazis. #EqualPayDay #SemST",AGAINST
@lucyblakeman12 You need feminism more than you need anything else in your life. You couldn't survive or speak w/o it. #SemST,FAVOR
"MRAs just tried to ""enlighten"" me, which went about as well as the flight of the Hindenburg. #SemST",FAVOR
Why do girls/women spend so much time to be pretty and attractive and then complain if they're reduced to a sex symbol? #SemST,AGAINST
@randomtweetor i hate to break it to u bruh but women do get pretty for us. They get pretty to show other women #feminist #SemST,FAVOR
"Job should always go to best candidate, regardless of gender. Gender shouldn't even matter anymore, it's 2015! #PaulHenry #SemST",FAVOR
"What do you say to a woman with two black eyes?  Nothing, she's already been told twice.   #SemST",AGAINST
Did you know? Gender stereotypes as we know then developed with beginning of the 18. century. #gender #SemST,FAVOR
the time for gender equality is NOW! #SemST,FAVOR
"As Chip Kidd announces the readers & asks us to hold their applause, the audience cant hold it back for @GloriaSteinem #poetry #SemST",NONE
Women get paid far more than men to appear in pornography. How come no one is talking about this blatant sexism?!  @amazingatheist #SemST,AGAINST
You know you're in a patriarchy when women are the ones who are blamed for prostitution #whatisjustice #inequality #SemST,FAVOR
When is it ok for a married 49-year-old CEO to use his power and influence to shag his 22-year-old intern? #AskHillary #SemST,FAVOR
I love that girl @EricWynalda on @meganrapinoe_15 What the hell @FOXSports1? Way to diminish women's soccer #USWNT #SemST,FAVOR
"Men don't have a right to talk over you, you're voice is important, you are a goddess and don't deserve to be silenced #SemST",FAVOR
FINALLY A WOMEN RUNNING FOR PRESIDENT #SemST,FAVOR
"Pissed that I got ""talked to"" but he didn't  #SemST",FAVOR
"@SirWilliamValen insulting, thinking you can make a switch like that. if it wasn't written for us, it wasn't for us #SemST",NONE
"@Yaahnemba Have you ever thought that maybe ""blue jeans"" hates you? Not everyone in the world is made for each other. #SemST",NONE
I believe that every women should have their own rights!! #SemST,FAVOR
@TheRuIes @xDirtyDianna why not she's clearly a part of the squad females can't be with guys without being looked at as a hoe #SemST,FAVOR
It upsets me how people are so narrow-minded when it comes to feminism. STEREOTYPING MEN IS NOT . #SemST,FAVOR
I am obsessed with becoming a woman comfortable in her skin.  Sandra Cisneros #latinx #woc #SemST,FAVOR
I just yelled at my boyfriend for trying to let me win for Mortal Kombat X. #SemST,FAVOR
"Extinction of insects,dangerous herbs,gigolo services,religious fanaticism,fake BEERcans-Y Malaysia Radio&media FAIL2discuss? #SemST",NONE
RT @WGSndsu: Let's demand less cat-calling and more cats! #ndsufeminist #Feminist #cats #DogsCanComeToo #SemST,FAVOR
Anyone find it funny that #Feminists use #TakeitLikeAMan when they don't want to understand what it means to be one?  #SemST,AGAINST
.@MyRainbowNinja @NotAllBhas This farm is fucking disgusting. #SemST,NONE
RT @rossansguil: Nothing like dudes joking about molesting me right to my face... #SemST,FAVOR
All I'm doing is reading GG tweets and getting angrier. Fuuuuuuuuuuuck men are privileged.  Time for bed. #FeminismIsAwfullyGreat #SemST,FAVOR
@FudgieeBuddiee ARE YOU SAYING ALL GIRLS ARE SENSITIVE BECAUSE OF GENDER ROLES? YOU SEXIST SWINE #SemST,FAVOR
"@DaniBChristen Yes,a ""greater"" understanding because ur's is ""superior"" 2 mine LOL #IDontNeedFeminism #SemST",AGAINST
WHO DO I GOTTA FUCK TO NEVER FEEL LIKE I GOTTA FUCK SOMEBODY? #SemST,NONE
"when they say men look at women like a piece of meat what do they even mean, they want to cook & eat her? #YesAllWomen #SemST",FAVOR
"Starting to compile evidence for blog post, how modern feminism shares the same traits as the Nazi propaganda #antifeminism #SemST",AGAINST
Why don't you love me Twitter #SemST,NONE
"I HOPE YOU GET RAPED is apparently how misogynists say ""How dare you not bend to my will?""  #YesAllWomen #SemST",FAVOR
How much radical feminist does there have to be before feminist start rethinking their position about feminism? #SemST,AGAINST
Honoured to be followed by the truly inspirational @Kon__K founder of @ASRC1 #realaustralianssaywelcome #thethingsthatmatter #SemST,NONE
Feminists don't even understand what feminism is. #SemST,AGAINST
Thanks to the work of people like @everydaysexism they are not only helping women but helping the whole of society #SemST,FAVOR
"If you wanna stay home and raise a family, that's cool. But that's your choice and nobody else's. #SemST",FAVOR
@suicidaljac3 eat a pus or somethin lozer #SemST,NONE
Women are superior to men in every aspect #feminist #SemST,FAVOR
@BruiseAurora i'm advocating men to stop loving women. Just have sex with them . #everydaysexism #SemST,AGAINST
I NEED FEMINISM BECAUSE- A man in a room full of women is ecstatic. A woman in a room full of men is terrified. #SemST,FAVOR
Why is Paul Elam not one of the most hated men alive right now!? #feminist #SemST,FAVOR
